OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,osm_id,latitude,longitude
7,WOODSHED OF BIG CABIN,"I-44, EXIT 283 & US-69",Big Cabin,OK,307,3.00733333,184155.0,36.5679367,-95.2133529
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,251430.0,44.0157724,-90.4927721
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,110801.0,32.9265695,-112.6778554
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,111293.0,35.317535,-94.396402
35,ACI TRUCK STOP,US-46,Columbia,NJ,90,3.079,18406095.0,40.897489,-75.0712666
36,SHENANDOAH TRUCK CENTER,"I-81, EXIT 273 & SR-703/SR-292",Mount Jackson,VA,60,2.899,207005.0,38.759793,-78.636564
44,CIRCLE K #2612042,"I-35,  EXIT 271",Jarrell,TX,595,2.919,6584713.0,30.7358941,-97.6398357
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,110345.0,32.409061,-85.955479
49,TA SEYMOUR TRAVEL CENTER,"I-65, EXIT 50 & US-50 & US-31",Seymour,IN,415,3.959,127590.0,38.961695,-85.8436256
20,PILOT #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,110801.0,32.9265695,-112.6778554
56,TOPS TRUCK STOP,"I-94, EXIT 182 & US-83",Sterling,ND,390,3.51566666,151424361.0,46.836388,-100.283429
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,421142.0,38.735148,-108.070653
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,117164.0,38.46604,-75.5579129
79,DELAWARE TRUCK PLAZA,US-13 & US-40,New Castle                              ,DE,243,3.249,1245077.0,39.6982127,-75.5730062
81,One9 #89,"I-75, EXIT 224",Ellenton,FL,225,3.439,33613878.0,27.5345024,-82.5101812
85,DOWNIEVILLE FUEL STOP,"I-70, EXIT 234",Dumont,CO,800,3.459,151370749.0,39.7653032,-105.608932
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.269,154205298.0,43.3548198,-83.8658261
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.339,154205298.0,43.3548198,-83.8658261
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.429,154205298.0,43.3548198,-83.8658261
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.289,154205298.0,43.3548198,-83.8658261
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.399,154205298.0,43.3548198,-83.8658261
105,TA SAGINAW I 75 TRAVEL CENTER,"I-75, EXIT 144-B",Bridgeport,MI,260,3.299,154205298.0,43.3548198,-83.8658261
118,Lupton Truck Stop #567,"I-40, EXIT 359",Lupton,AZ,580,3.299,151480715.0,35.360565,-109.0487471
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,110775.0,32.812253,-111.6762124
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,1846532.0,37.670431,-87.524052
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.399,1801527.0,39.1164642,-88.5697322
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.349,1801527.0,39.1164642,-88.5697322
128,THE EFFINGHAM CHROME SHOP,"I-57 & I-70, EXIT 159",Effingham                               ,IL,510,3.549,1801527.0,39.1164642,-88.5697322
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,124863.0,41.4096174,-90.0200433
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.389,124863.0,41.4096174,-90.0200433
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.449,124863.0,41.4096174,-90.0200433
147,SPEEDWAY #8039,"I-69, EXIT 234 & SR-67",Daleville,IN,375,3.624,127185.0,40.1084902,-85.5687243
149,RAYS TRUCK WASH,"I-69, EXIT 309 & US-30",Fort Wayne                              ,IN,370,3.59233333,127309.0,41.1253741,-85.1836116
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,169270.0,40.9164146,-100.1723858
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,119008.0,30.2883092,-81.9902422
159,PILOT TRAVEL CENTERS #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,119008.0,30.2883092,-81.9902422
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,132100.0,30.4435454,-91.0034039
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,127199.0,41.5698515,-87.427434
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,128357.0,41.2320659,-95.904136
186,COFFEE CUP FUEL STOP #5,"I-90, EXIT 154 & US-16",Moorcroft                               ,WY,822,3.239,252224.0,44.2654843,-104.939058
187,DUDLEYS CORNER,"I-35, EXIT 165 & SR-3",Latimer,IA,433,3.23233333,128718.0,42.7411703,-93.4016819
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,128364.0,43.1300099,-93.3559608
192,Brew Stuart Truckstop,"I-80, EXIT 93",Stuart                                  ,IA,320,3.099,128955.0,41.492909,-94.323236
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,33161089.0,40.5044063,-103.2573099
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,129645.0,38.8767309,-97.6077778
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,182971.0,38.934479,-83.632773
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,13687554.0,30.4540444,-88.8467082
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,129645.0,38.8767309,-97.6077778
231,DERBY CITYS TRUCK PLAZA,"I-75, EXIT 62 & US-25",Mount Vernon,KY,410,2.999,130620.0,37.380829,-84.333846
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,119060.0,29.2733553,-82.195555
235,PILOT TRAVEL CENTER #92,"I-75, EXIT 358",Ocala,FL,225,3.41233333,119060.0,29.2733553,-82.195555
240,LA 1 SOUTH TRUCKSTOP,"I-10, EXIT 153 & SR-1",Port Allen,LA,600,3.039,131601.0,30.4401452,-91.2061926
244,BIG D TRUCK TRAVEL PLAZA,"I-10, EXIT 92 & SR-95",Duson,LA,725,2.98233333,131983.0,30.2476091,-92.1954545
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,131885.0,29.9754638,-90.0633585
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,130290.0,38.8973214,-99.3151052
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,111117.0,35.1565234,-90.1331266
256,BFS FOODS #66,"I-68/US-40, EXIT 22 & US-219",Grantsville                             ,MD,165,3.899,133668.0,39.6902348,-79.1099032
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,407497.0,41.922493,-83.36109
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.249,407497.0,41.922493,-83.36109
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.439,407497.0,41.922493,-83.36109
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.349,407497.0,41.922493,-83.36109
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.559,407497.0,41.922493,-83.36109
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,127907.0,38.8918754,-87.4419082
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,127920.0,39.301399,-85.9658039
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,129955.0,38.9899316,-95.2538079
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,130264.0,38.123051,-96.555099
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,1181618.0,42.0905597,-72.5820594
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,129568.0,39.090627,-94.6804978
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,169770.0,41.1151917,-101.7093332
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,198809.0,41.4265359,-112.0563011
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,1210689.0,30.0723908,-81.4988036
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,127426.0,41.5797087,-87.0848268
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,119008.0,30.3763713,-81.7611175
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,41879771.0,43.172516,-73.711336
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.799,41879771.0,43.172516,-73.711336
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,127193.0,41.5715027,-87.439458
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,16326705.0,32.6703848,-114.4495869
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,182694.0,40.271597,-82.927078
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,182621.0,41.0303058,-81.8914536
403,TRUCKOMAT OF HEBRON,"I-70, EXIT 126 & SR-37",Hebron,OH,315,3.429,182614.0,39.942336,-82.531541
421,PETRO STOPPING CENTER #316,"I-40 & I-35, EXIT 127",Oklahoma City,OK,483,3.30233333,185048.0,35.4625866,-97.4806988
425,Neighbors Express,"I-16, EXIT 51",Dublin                                  ,GA,85,3.299,119678.0,32.4883624,-82.9396364
442,WESTERN COOP,US-385 & SR-2,Alliance,NE,795,3.324,169455.0,42.0961614,-102.8984483
455,MR FUEL #753,"I-95, EXIT 104 & SR-207",Ruther Glen,VA,180,3.26566666,158349522.0,37.9327371,-77.4677911
456,THE COUNTRY OASIS,US-24,Woodburn                                ,IN,370,3.399,127526.0,41.1571723,-85.0538187
461,SPINX #271,"I-26, EXIT 145 & US-601",Orangeburg,SC,42,3.26233333,193825.0,33.5569489,-80.822349
469,LOAF N JUG #750010,US-160 & SR-17,Alamosa,CO,803,3.259,1411350.0,37.4681679,-105.8752044
474,KEWANEE 1 STOP,"I-20, EXIT 169 & US-80",Toomsuba,MS,705,3.299,153349838.0,32.4235166,-88.4534986
478,GASTRAK OF PEMBINA,"I-29, EXIT 215",Pembina                                 ,ND,355,3.299,1740299.0,48.9742675,-97.256704
483,ALLSUPS #2387,US-54/SR-136/SR-3 & US-64,Guymon,OK,585,2.97566666,185073.0,36.6889415,-101.4815879
489,EDDIES CORNER,US-87 & US-191,Moore,MT,815,3.749,142454.0,46.9830365,-109.7460766
491,One9 #403,"I-75, EXIT 117",Heiskell,TN,405,2.999,154137253.0,36.110633,-84.0243109
496,PILOT TRAVEL CENTERS #270,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.439,197353.0,35.9076272,-84.1389495
509,LOVES TRAVEL STOPS #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,6587606.0,31.0413507,-104.8131308
509,LOVES TRAVEL STOP #256,"I-10, EXIT 140B",Van Horn,TX,640,3.649,6587606.0,31.0413507,-104.8131308
523,CIRCLE K #2723322,"I-985, EXIT 20 & SR-60",Gainesville,GA,18,3.26566666,119734.0,34.263223,-83.8212586
525,FASTBREAK,US-45 ALT,West Point,MS,705,3.059,7154969.0,33.891133,-88.7270948
546,PLAZA 30,US-30,Wanatah,IN,365,3.499,127356.0,41.4340446,-86.8766158
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.389,126740.0,41.3646633,-89.1570849
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.589,126740.0,41.3646633,-89.1570849
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.449,126740.0,41.3646633,-89.1570849
557,SAPP BROS TRAVEL CENTER,"I-80, EXIT 73",Peru,IL,290,3.289,126740.0,41.3646633,-89.1570849
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,695,3.20733333,8542773.0,34.888065,-92.382796
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,365,3.83066666,127298.0,41.5699667,-87.3977211
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.899,127309.0,41.1188908,-85.1899909
572,PILOT TRAVEL CENTERS #881,"I-69, EXIT 309A",Fort Wayne                              ,IN,370,3.879,127309.0,41.1188908,-85.1899909
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,600,3.624,151878816.0,30.2331766,-92.4665156
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,935,3.779,186715.0,45.5449897,-122.3866584
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,835,3.67066666,252245.0,41.6078896,-109.2287918
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.399,237652.0,46.2248221,-119.7981068
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,925,4.559,237652.0,46.2248221,-119.7981068
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,615,2.964,17026632.0,33.1726395,-87.4419113
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,400,3.22566666,140772.0,38.9916677,-93.5638838
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,475,3.50066666,169742.0,41.113,-102.9427602
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,305,3.15233333,182836.0,41.7690487,-80.9532804
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,935,3.379,186475.0,44.6618007,-123.0598707
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,460,2.98566666,153397783.0,35.8425913,-88.0823609
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,405,3.42566666,197353.0,35.9076272,-84.1389495
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,150,3.549,18397583.0,39.8565565,-75.1628744
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,566,3.20566666,195097.0,45.3106395,-97.0515411
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,38,4.499,13611484.0,42.15687,-78.989991
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,570,3.499,129814.0,37.630056,-97.386162
692,BP,US-63,Ottumwa,IA,489,3.399,129039.0,40.868789,-92.409031
739,Arco #364420,US-23,Greenup,KY,255,3.649,1846528.0,38.4426058,-82.6099923
748,QUIKTRIP #4231,US-85,Evans,CO,800,3.17233333,112447.0,40.2608442,-104.8002806
769,AYERCO #26,US-61/US-136,Alexandria,MO,345,3.01566666,141782.0,40.4521045,-91.4423893
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.379,122077.0,42.309629,-87.877074
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.499,122077.0,42.309629,-87.877074
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,293,3.289,122077.0,42.309629,-87.877074
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,195,3.499,119717.0,32.619232,-81.70157
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,435,3.499,111117.0,35.1565234,-90.1331266
906,PILOT TRAVEL CENTER #429,"I-40, EXIT 280",West Memphis,AR,435,3.291,111117.0,35.1565234,-90.1331266
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,615,3.46566666,110316.0,33.3407403,-86.7802768
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,695,3.03233333,253925.0,35.0697383,-92.417546
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,18149837.0,33.6590983,-114.244459
977,PILOT TRAVEL CENTERS #328,"I-10, EXIT 17",Quartzsite,AZ,930,3.959,18149837.0,33.6590983,-114.244459
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,825,3.53233333,121301.0,43.2017536,-112.3613958
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,900,3.56566666,16326705.0,32.676727,-114.527726
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.449,1245077.0,39.7506429,-75.5044971
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,243,3.399,1245077.0,39.7506429,-75.5044971
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,16,3.399,119897.0,33.511994,-82.497945
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,527,3.399,128388.0,41.977871,-95.364285
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,565,3.58233333,128661.0,42.583988,-92.88461
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,787,3.799,121425.0,42.57831,-114.301298
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.819,125685.0,42.4840486,-87.946379
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.879,125685.0,42.4840486,-87.946379
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.779,125685.0,42.4840486,-87.946379
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,444,3.769,125685.0,42.4840486,-87.946379
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,293,3.249,126280.0,38.1508303,-88.9131889
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.399,126241.0,40.1265262,-87.7834187
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.499,126241.0,40.1265262,-87.7834187
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,280,3.599,126241.0,40.1265262,-87.7834187
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,280,3.499,126300.0,39.5903426,-89.6463647
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,127785.0,39.8167275,-85.9225179
1149,PILOT TRAVEL CENTERS #30,"I-70, EXIT 96",Greenfield,IN,375,3.959,127785.0,39.8167275,-85.9225179
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,375,3.759,127337.0,39.837784,-85.561084
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,375,3.599,127725.0,39.524258,-85.731891
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute                             ,IN,510,3.43566666,127733.0,39.4307644,-87.3198086
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,365,3.869,127427.0,41.4530258,-87.0255273
1158,PILOT TRAVEL CENTER #36,US-30  & SR-49,Valparaiso,IN,365,3.859,127427.0,41.4530258,-87.0255273
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,410,3.20566666,130631.0,38.27076,-84.55544
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,415,3.609,130667.0,37.832604,-85.7181766
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,725,3.384,132112.0,30.7467384,-91.2817951
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,22,3.599,133646.0,39.5924179,-76.0672792
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.549,1801527.0,39.1164642,-88.5697322
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.349,1801527.0,39.1164642,-88.5697322
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.439,1801527.0,39.1164642,-88.5697322
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,574,3.399,1801527.0,39.1164642,-88.5697322
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.499,135028.0,42.2386685,-85.6387104
1208,D AVENUE FUEL PLAZA,US-131,Kalamazoo,MI,465,3.099,135028.0,42.2386685,-85.6387104
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.599,135136.0,42.1979347,-85.9703404
1210,ROADHAWK TRAVEL CENTER,"I-94, EXIT 56 & SR-51",Paw Paw                                 ,MI,465,3.559,135136.0,42.1979347,-85.9703404
1217,KWIK TRIP #250,"I-90, EXIT 179",Austin,MN,515,3.374,137800.0,43.6746033,-92.9518069
1218,CASEYS #3658,SR-210,Pillager,MN,522,3.299,137811.0,46.344473,-94.6049892
1225,AYERCO #35,US-61 & US-61 BUS,Bowling Green,MO,494,3.01566666,141359.0,39.373391,-91.218113
